Check,Actual,Expected,Status
Average Order Value identity,3490.99584177395,3490.99584177395,PASS
Average Selling Price identity,399.631970051969,399.631970051969,PASS
Channel reconciliation,109809274.203001,109809274.203,PASS
Current Inventory Units,258981,258981,PASS
Current Inventory Value,23603975.57,23603975.57,PASS
Customers,18484,18484,PASS
Discounted Sales,5422689.02640004,5422689.0264,PASS
Distinct Orders,31455,31455,PASS
Due-date relationship reconciliation,109809274.203001,109809274.203,PASS
Due-date Sales 2013,52285231.9951996,52285231.9952,PASS
Gross Margin identity,0.114301513596173,0.114301513596173,PASS
Gross Profit,12551366.2483,12551366.2483,PASS
Internet Sales,29358677.2207,29358677.2207,PASS
Inventory Health % identity,0.103960396039604,0.103960396039604,PASS
Latest Inventory Date,41820,41820,PASS
Products Below Reorder Point,,0,PASS
Products Below Safety Stock,543,543,PASS
Products Sold,350,350,PASS
Products With Inventory,606,606,PASS
Profit PY under 2014 context,6273540.9644,6273540.9644,PASS
Reorder Risk % identity,,0,PASS
Repeat Customers,6865,6865,PASS
Reseller Sales,80450596.9823013,80450596.9823,PASS
Resellers,635,635,PASS
Revenue per Customer identity,1588.32921557563,1588.32921557563,PASS
Revenue per Reseller identity,126693.853515435,126693.853515435,PASS
Safety Stock Risk % identity,0.896039603960396,0.896039603960396,PASS
Sales PY under 2014 context,49926384.4971998,49926384.4972,PASS
Sales YTD under 2013 context,49926384.4971998,49926384.4972,PASS
Ship-date relationship reconciliation,109809274.203001,109809274.203,PASS
Ship-date Sales 2013,52522104.8346996,52522104.8347,PASS
Total Product Cost,97257907.9547003,97257907.9547,PASS
Total Sales,109809274.203,109809274.203,PASS
Units Sold,274776,274776,PASS
